well_id,cell_number,cell_number_1,experimental_or_control,lonza_nucleofection_buffer
A1,1000000,1000000,exp,Buffer_P1
B1,1000000,1000000,exp,Buffer_P1
C1,1000000,1000000,exp,Buffer_P1
D1,1000000,1000000,exp,Buffer_P1
E1,1000000,1000000,exp,Buffer_P1
F1,1000000,1000000,exp,Buffer_P1
G1,1000000,1000000,exp,Buffer_P1
H1,1000000,1000000,exp,Buffer_P1
A2,1000000,1000000,exp,Buffer_P1
B2,1000000,1000000,exp,Buffer_P1
C2,1000000,1000000,exp,Buffer_P1
D2,1000000,1000000,exp,Buffer_P1
E2,1000000,1000000,exp,Buffer_P1
F2,1000000,1000000,exp,Buffer_P1
G2,1000000,1000000,exp,Buffer_P1
H2,1000000,1000000,exp,Buffer_P1
A3,1000000,1000000,exp,Buffer_P1
B3,1000000,1000000,exp,Buffer_P1
C3,1000000,1000000,exp,Buffer_P1
D3,1000000,1000000,exp,Buffer_P1
E3,1000000,1000000,exp,Buffer_P1
F3,1000000,1000000,exp,Buffer_P1
G3,1000000,1000000,exp,Buffer_P1
H3,1000000,1000000,exp,Buffer_P1
A4,1000000,1000000,exp,Buffer_P1
B4,1000000,1000000,exp,Buffer_P1
C4,1000000,1000000,exp,Buffer_P1
D4,1000000,1000000,exp,Buffer_P1
E4,1000000,1000000,exp,Buffer_P1
F4,1000000,1000000,exp,Buffer_P1
G4,1000000,1000000,exp,Buffer_P1
H4,1000000,1000000,cntrl,Buffer_P1
A5,1000000,1000000,exp,Buffer_P2
B5,1000000,1000000,exp,Buffer_P2
C5,1000000,1000000,exp,Buffer_P2
D5,1000000,1000000,exp,Buffer_P2
E5,1000000,1000000,exp,Buffer_P2
F5,1000000,1000000,exp,Buffer_P2
G5,1000000,1000000,exp,Buffer_P2
H5,1000000,1000000,exp,Buffer_P2
A6,1000000,1000000,exp,Buffer_P2
B6,1000000,1000000,exp,Buffer_P2
C6,1000000,1000000,exp,Buffer_P2
D6,1000000,1000000,exp,Buffer_P2
E6,1000000,1000000,exp,Buffer_P2
F6,1000000,1000000,exp,Buffer_P2
G6,1000000,1000000,exp,Buffer_P2
H6,1000000,1000000,exp,Buffer_P2
A7,1000000,1000000,exp,Buffer_P2
B7,1000000,1000000,exp,Buffer_P2
C7,1000000,1000000,exp,Buffer_P2
D7,1000000,1000000,exp,Buffer_P2
E7,1000000,1000000,exp,Buffer_P2
F7,1000000,1000000,exp,Buffer_P2
G7,1000000,1000000,exp,Buffer_P2
H7,1000000,1000000,exp,Buffer_P2
A8,1000000,1000000,exp,Buffer_P2
B8,1000000,1000000,exp,Buffer_P2
C8,1000000,1000000,exp,Buffer_P2
D8,1000000,1000000,exp,Buffer_P2
E8,1000000,1000000,exp,Buffer_P2
F8,1000000,1000000,exp,Buffer_P2
G8,1000000,1000000,exp,Buffer_P2
H8,1000000,1000000,cntrl,Buffer_P2
A9,1000000,1000000,exp,Buffer_P3
B9,1000000,1000000,exp,Buffer_P3
C9,1000000,1000000,exp,Buffer_P3
D9,1000000,1000000,exp,Buffer_P3
E9,1000000,1000000,exp,Buffer_P3
F9,1000000,1000000,exp,Buffer_P3
G9,1000000,1000000,exp,Buffer_P3
H9,1000000,1000000,exp,Buffer_P3
A10,1000000,1000000,exp,Buffer_P3
B10,1000000,1000000,exp,Buffer_P3
C10,1000000,1000000,exp,Buffer_P3
D10,1000000,1000000,exp,Buffer_P3
E10,1000000,1000000,exp,Buffer_P3
F10,1000000,1000000,exp,Buffer_P3
G10,1000000,1000000,exp,Buffer_P3
H10,1000000,1000000,exp,Buffer_P3
A11,1000000,1000000,exp,Buffer_P3
B11,1000000,1000000,exp,Buffer_P3
C11,1000000,1000000,exp,Buffer_P3
D11,1000000,1000000,exp,Buffer_P3
E11,1000000,1000000,exp,Buffer_P3
F11,1000000,1000000,exp,Buffer_P3
G11,1000000,1000000,exp,Buffer_P3
H11,1000000,1000000,exp,Buffer_P3
A12,1000000,1000000,exp,Buffer_P3
B12,1000000,1000000,exp,Buffer_P3
C12,1000000,1000000,exp,Buffer_P3
D12,1000000,1000000,exp,Buffer_P3
E12,1000000,1000000,exp,Buffer_P3
F12,1000000,1000000,exp,Buffer_P3
G12,1000000,1000000,exp,Buffer_P3
H12,1000000,1000000,cntrl,Buffer_P3
